order_no,sku,product_name,product_category,source,region_code,qty,gross_amount,cost_amount,sale_date
CS-00001,SKU-APP-2776,针织毛衣,apparel,retail_store,west,1,28.61,17.67,2025-01-24T11:00:00Z
CS-00002,SKU-ELE-8509,机械键盘,electronics,e_commerce,east,4,431.44,316.68,2025-12-18T09:00:00Z
CS-00003,SKU-APP-2675,针织毛衣,apparel,e_commerce,south,1,86.52,65.95,2025-05-26T09:00:00Z
CS-00004,SKU-APP-3765,运动外套,apparel,catalog,north,2,116.74,93.21,2025-03-27T20:00:00Z
CS-00005,SKU-APP-2310,牛仔裤,apparel,e_commerce,south,2,176.58,140.48,2025-07-05T19:00:00Z
CS-00006,SKU-HOM-1096,台灯,home,catalog,east,2,104.64,88.69,2025-01-03T16:00:00Z
CS-00007,SKU-ELE-7770,蓝牙音箱,electronics,e_commerce,west,4,378.76,293.0,2025-11-05T09:00:00Z
CS-00008,SKU-HOM-4823,挂钟,home,catalog,north,3,305.16,187.47,2025-08-19T16:00:00Z
CS-00009,SKU-APP-2984,针织毛衣,apparel,catalog,east,3,258.12,178.61,2025-09-21T13:00:00Z
CS-00010,SKU-ELE-2226,智能手表,electronics,e_commerce,west,2,103.5,62.11,2025-09-12T11:00:00Z
CS-00011,SKU-ELE-6932,无线耳机,electronics,e_commerce,south,3,82.05,67.5,2025-08-11T10:00:00Z
CS-00012,SKU-APP-8983,针织毛衣,apparel,e_commerce,,1,62.14,40.41,2025-04-20T16:00:00Z
CS-00013,SKU-APP-2820,运动外套,apparel,e_commerce,east,5,90.7,54.84,2025-03-03T13:00:00Z
CS-00014,SKU-HOM-3374,台灯,home,retail_store,west,4,54.52,36.04,2025-01-27T14:00:00Z
CS-00015,SKU-ELE-2262,蓝牙音箱,electronics,e_commerce,south,5,267.2,164.51,2025-08-08T11:00:00Z
CS-00016,SKU-ELE-2817,无线耳机,electronics,e_commerce,south,1,17.4,,2025-09-11T11:00:00Z
CS-00017,SKU-HOM-3250,台灯,home,e_commerce,north,5,470.05,345.12,2025-10-27T19:00:00Z
CS-00018,SKU-ELE-3706,无线耳机,electronics,retail_store,north,2,102.1,,2025-04-12T09:00:00Z
CS-00019,SKU-APP-9376,纯棉T恤,apparel,e_commerce,east,2,200.28,120.74,2025-02-27T15:00:00Z
CS-00020,SKU-HOM-3096,收纳盒,home,e_commerce,east,3,205.98,156.36,2025-05-26T17:00:00Z
CS-00021,SKU-ELE-8712,USB 充电器,electronics,retail_store,north,2,85.68,59.3,2025-08-19T11:00:00Z
CS-00022,SKU-ELE-1904,蓝牙音箱,electronics,retail_store,east,4,182.64,127.7,2025-05-19T21:00:00Z
CS-00023,SKU-HOM-5580,挂钟,home,catalog,south,2,163.32,103.07,2025-08-21T15:00:00Z
CS-00024,SKU-APP-5570,针织毛衣,apparel,e_commerce,west,2,122.64,86.44,2025-11-30T08:00:00Z
CS-00025,SKU-APP-1019,牛仔裤,apparel,retail_store,north,1,65.77,50.69,2025-01-13T14:00:00Z
CS-00026,SKU-APP-1402,运动外套,apparel,retail_store,east,2,110.16,81.26,2025-10-12T14:00:00Z
CS-00027,SKU-APP-4677,运动外套,apparel,e_commerce,west,2,153.3,111.85,2025-07-17T18:00:00Z
CS-00028,SKU-APP-1915,针织毛衣,apparel,e_commerce,east,5,226.5,143.93,2025-05-17T16:00:00Z
CS-00029,SKU-APP-2766,卫衣,apparel,retail_store,west,2,91.52,62.74,2025-07-20T14:00:00Z
CS-00030,SKU-HOM-9470,保温杯,home,catalog,east,3,195.36,157.51,2025-01-27T18:00:00Z
CS-00031,SKU-ELE-9861,智能手表,electronics,e_commerce,south,4,463.76,291.35,2025-06-23T09:00:00Z
CS-00032,SKU-ELE-8111,机械键盘,electronics,e_commerce,north,2,176.14,123.2,2025-10-03T08:00:00Z
CS-00033,SKU-HOM-6655,地毯,home,e_commerce,north,4,434.12,318.19,2025-03-28T12:00:00Z
CS-00034,SKU-HOM-4235,挂钟,home,catalog,north,1,42.61,27.93,2025-06-05T21:00:00Z
CS-00035,SKU-ELE-6422,智能手表,electronics,retail_store,west,4,365.32,290.18,2025-09-29T08:00:00Z
CS-00036,SKU-APP-9846,牛仔裤,apparel,retail_store,west,3,85.95,,2025-10-15T11:00:00Z
CS-00037,SKU-HOM-8859,地毯,home,retail_store,north,2,62.7,49.87,2025-06-21T11:00:00Z
CS-00038,SKU-ELE-6935,机械键盘,electronics,catalog,north,3,208.53,150.3,2025-11-12T11:00:00Z
CS-00039,SKU-APP-1994,牛仔裤,apparel,retail_store,,4,31.64,23.82,2025-11-13T19:00:00Z
CS-00040,SKU-ELE-1844,机械键盘,electronics,e_commerce,south,1,97.66,,2025-07-22T13:00:00Z
CS-00041,SKU-HOM-4616,地毯,home,e_commerce,west,3,15.06,11.11,2025-01-28T09:00:00Z
CS-00042,SKU-HOM-9874,保温杯,home,e_commerce,south,3,48.78,32.51,2025-03-21T08:00:00Z
CS-00043,SKU-APP-3945,卫衣,apparel,e_commerce,west,1,80.78,64.99,2025-04-30T15:00:00Z
CS-00044,SKU-HOM-4377,挂钟,home,e_commerce,north,3,165.3,117.17,2025-12-07T10:00:00Z
CS-00045,SKU-HOM-2471,保温杯,home,retail_store,north,4,35.6,28.67,2025-01-01T09:00:00Z
CS-00046,SKU-APP-1193,卫衣,apparel,catalog,west,3,308.19,214.42,2025-02-03T10:00:00Z
CS-00047,SKU-ELE-8698,USB 充电器,electronics,catalog,east,1,32.83,,2025-08-05T19:00:00Z
CS-00048,SKU-ELE-4588,USB 充电器,electronics,retail_store,west,1,84.75,62.63,2025-05-25T11:00:00Z
CS-00049,SKU-APP-6636,针织毛衣,apparel,retail_store,north,2,146.84,122.22,2025-03-17T11:00:00Z
CS-00050,SKU-HOM-7944,台灯,home,e_commerce,east,6,73.56,58.36,2025-02-08T08:00:00Z
CS-00051,SKU-ELE-2196,无线耳机,electronics,e_commerce,south,5,124.7,102.62,2025-12-20T21:00:00Z
CS-00052,SKU-ELE-2264,机械键盘,electronics,catalog,east,1,18.96,11.76,2025-01-15T20:00:00Z
CS-00053,SKU-ELE-5508,机械键盘,electronics,catalog,west,1,70.04,,2025-03-05T20:00:00Z
CS-00054,SKU-ELE-7758,智能手表,electronics,e_commerce,east,4,294.56,239.2,2025-03-12T21:00:00Z
CS-00055,SKU-ELE-8913,USB 充电器,electronics,e_commerce,south,2,25.82,16.06,2025-08-10T11:00:00Z
CS-00056,SKU-ELE-6105,无线耳机,electronics,e_commerce,west,2,212.44,166.41,2025-04-18T15:00:00Z
CS-00057,SKU-ELE-3419,USB 充电器,electronics,e_commerce,north,2,133.3,99.05,2025-02-05T21:00:00Z
CS-00058,SKU-ELE-7764,USB 充电器,electronics,e_commerce,east,3,255.03,207.95,2025-06-18T13:00:00Z
CS-00059,SKU-ELE-6207,蓝牙音箱,electronics,retail_store,north,3,319.86,207.3,2025-01-07T21:00:00Z
CS-00060,SKU-ELE-8838,机械键盘,electronics,e_commerce,west,4,146.56,117.64,2025-10-27T13:00:00Z
CS-00061,SKU-APP-3254,针织毛衣,apparel,e_commerce,west,3,317.34,231.75,2025-03-22T10:00:00Z
CS-00062,SKU-ELE-5327,蓝牙音箱,electronics,e_commerce,east,5,78.3,60.89,2025-10-20T20:00:00Z
CS-00063,SKU-HOM-6008,地毯,home,catalog,north,3,176.73,149.77,2025-04-14T17:00:00Z
CS-00064,SKU-ELE-3613,机械键盘,electronics,e_commerce,east,3,234.45,190.42,2025-01-02T17:00:00Z
CS-00065,SKU-HOM-5243,台灯,home,e_commerce,west,1,56.3,46.74,2025-06-18T11:00:00Z
CS-00066,SKU-APP-5456,运动外套,apparel,retail_store,east,1,14.39,11.15,2025-03-01T08:00:00Z
CS-00067,SKU-HOM-9243,保温杯,home,e_commerce,north,6,399.42,313.76,2025-03-29T16:00:00Z
CS-00068,SKU-HOM-1816,收纳盒,home,e_commerce,south,3,197.67,135.74,2025-03-31T19:00:00Z
CS-00069,SKU-HOM-7867,保温杯,home,retail_store,north,2,122.28,88.1,2025-04-28T12:00:00Z
CS-00070,SKU-APP-6089,针织毛衣,apparel,e_commerce,north,5,257.1,177.98,2025-02-14T18:00:00Z
CS-00071,SKU-HOM-8054,地毯,home,e_commerce,east,1,47.19,29.71,2025-03-25T17:00:00Z
CS-00072,SKU-ELE-1444,智能手表,electronics,e_commerce,west,5,291.45,214.47,2025-07-09T08:00:00Z
CS-00073,SKU-HOM-7946,收纳盒,home,catalog,north,1,99.11,72.03,2025-04-04T17:00:00Z
CS-00074,SKU-APP-9508,运动外套,apparel,catalog,north,2,119.18,75.11,2025-05-02T11:00:00Z
CS-00075,SKU-HOM-6660,地毯,home,catalog,south,1,5.61,4.14,2025-12-24T17:00:00Z
CS-00076,SKU-HOM-3689,挂钟,home,retail_store,west,5,245.85,,2025-05-03T10:00:00Z
CS-00077,SKU-HOM-7765,地毯,home,e_commerce,north,3,320.46,244.12,2025-06-29T08:00:00Z
